sepalLength	sepalWidth	petalLength	petalWidth	species
7.1	35	1.4	0.2	versicolor
6.9	34	1.4	0.2	versicolor
6.7	32	1.3	0.2	versicolor
6.6	32	1.5	0.2	versicolor
7.0	36	1.4	0.2	versicolor
7.4	29	1.7	0.4	versicolor
6.6	32	1.4	0.3	versicolor
7.0	35	1.5	0.2	versicolor
6.4	31	1.4	0.2	versicolor
6.9	33	1.5	0.1	versicolor
7.4	40	1.5	0.2	versicolor
6.8	41	1.6	0.2	versicolor
6.8	42	1.4	0.1	versicolor
6.3	32	1.1	0.1	versicolor
7.8	53	1.2	0.2	versicolor
7.7	52	1.5	0.4	versicolor
7.4	51	1.3	0.4	versicolor
7.1	48	1.4	0.3	versicolor
7.7	49	1.7	0.3	versicolor
7.1	43	1.5	0.3	versicolor
7.4	53	1.7	0.2	versicolor
7.1	51	1.5	0.4	versicolor
6.6	35	1.0	0.2	versicolor
7.1	39	1.7	0.5	versicolor
6.8	27	1.9	0.2	versicolor
7.0	39	1.6	0.2	versicolor
7.0	38	1.6	0.4	versicolor
7.2	21	1.5	0.2	versicolor
7.2	29	1.4	0.2	versicolor
6.7	61	1.6	0.2	versicolor
6.8	36	1.6	0.2	versicolor
7.4	41	1.5	0.4	versicolor
7.2	43	1.5	0.1	versicolor
7.5	35	1.4	0.2	versicolor
6.9	28	1.5	0.2	versicolor
7.0	31	1.2	0.2	versicolor
7.5	39	1.3	0.2	versicolor
6.9	42	1.4	0.1	versicolor
6.4	47	1.3	0.2	versicolor
7.1	51	1.5	0.2	versicolor
7.0	52	1.3	0.3	versicolor
